ec5_uuid,created_at,uploaded_at,created_by,title,2_Site_Name,3_Survey_Type,4_Plot_,5_Date,6_Time,7_Visit_,8_Observer,9_Distance_Observed_,10_Sex,11_Turtle_ID,12_Status,13_Age,14_Capture_Type,lat_15_GPS,long_15_GPS,accuracy_15_GPS,UTM_Northing_15_GPS,UTM_Easting_15_GPS,UTM_Zone_15_GPS,16_Carapace_Photo,17_Plastron_Photo,18_SCL_mm,19_CW_mm,20_SH_mm,21_Mass_g,22_Plastron_Wear_,23_Visible_Annuli_Le,24_Gravid,25_Health,26_Injuries,27_Mower_Related_Inj,28_Injuries_OtherDet,29_Scute_Morph,30_Scute_Morph_Other,31_Macrohabitat,32_Microhabitat,33_Habitat_Other,34_Distance_from_mow,35_Behavior,36_Behavior_Other,37_Calipers_Used,38_Notch_Code_System,39_Comments
3b6760c0-fc21-4428-a1c8-672396584eb5,2023-06-28T19:06:02.495Z,2023-07-04T19:56:35.000Z,turtleconservationecology@gmail.com,"Male 2018",SCBI,Incidental,2,06/28/2023,14:57,,JRM,1,Male,2018,Alive,Sub-adult,"New/Initial Capture",38.903427,-78.161697,8,4309890,746128,17S,3b6760c0-fc21-4428-a1c8-672396584eb5_1687979001.jpg,3b6760c0-fc21-4428-a1c8-672396584eb5_1687979013.jpg,117,97,58,320,0,10,NA,Healthy,None,No,,Normal,,"Mixed Forest",Grasses,,NA,Quiescent/inactive,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
15b101fe-ba66-455a-bc3f-9106317acec3,2023-06-28T14:09:34.115Z,2023-06-29T13:29:47.000Z,emmakendrick136@gmail.com,"Male 2017",SCBI,"Track only",1,06/28/2023,09:53,,SMSC,3,Male,2017,Alive,Adult,"New/Initial Capture",38.899343,-78.148851,4,4309471,747257,17S,15b101fe-ba66-455a-bc3f-9106317acec3_1687960851.jpg,15b101fe-ba66-455a-bc3f-9106317acec3_1687960863.jpg,151,114,63,540,30,11,NA,Healthy,Carapace,No,"Damage to LM1",Normal,,Floodplain/Seep,"Seep/Wet area",,NA,"Alert, In form","Submerged in water/mud","AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
6b2453be-464a-4a87-bc91-1988f98dec2c,2023-06-27T20:09:36.543Z,2023-06-28T17:50:35.000Z,maxearle32@gmail.com,"Female 2006",SCBI,"Track only",2,06/27/2023,16:05,,MPE,,Female,2006,Unknown,Adult,Recapture,38.903166,-78.161946,5,4309860,746108,17S,,,,,,,,,,,,,,,,"Mixed Forest",Bushes/Shrubs,,,,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Radio telemetry: no visual, in bush"
fb2cc095-c67e-401b-afc9-31a3b98d7e95,2023-06-27T19:52:10.976Z,2023-06-28T17:50:33.000Z,maxearle32@gmail.com,"Male 2022",SCBI,Incidental,2,06/27/2023,15:43,,MPE,1,Male,2022,Alive,Adult,"New/Initial Capture",38.902511,-78.161963,5,4309787,746108,17S,fb2cc095-c67e-401b-afc9-31a3b98d7e95_1687895240.jpg,fb2cc095-c67e-401b-afc9-31a3b98d7e95_1687895257.jpg,135,109,65,540,10,12,NA,Healthy,Carapace,No,"Missing RM1 LM1 and N",Normal,,"Mixed Forest",Grasses,,NA,Feeding/Foraging,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
f16b62ff-dd42-4928-a735-31aead54c41a,2023-06-27T19:28:48.183Z,2023-06-28T11:49:56.000Z,turtleconservationecology@gmail.com,Female,SCBI,Incidental,2,06/27/2023,15:25,,JRM,3,Female,,Alive,Adult,"New/Initial Capture",38.904951,-78.15923,7,4310065,746337,17S,f16b62ff-dd42-4928-a735-31aead54c41a_1687894001.jpg,f16b62ff-dd42-4928-a735-31aead54c41a_1687894010.jpg,,,,,5,14,Unknown,Abscesses,None,No,"Cyst on right side of neck, ruptured and oozing","Irregular (Specify)","6 vertebrals, 1 tiny one in the third","Mature Forest",Road/Footpath,"Walking along fence line",NA,Walking,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
6ed6de03-9edb-4ad4-b889-92fad42871b4,2023-06-27T19:17:19.330Z,2023-06-28T11:49:54.000Z,turtleconservationecology@gmail.com,"Male 2021",SCBI,Incidental,2,06/27/2023,15:06,,JRM,5,Male,2021,Alive,Adult,"New/Initial Capture",38.9049,-78.159137,7,4310060,746345,17S,6ed6de03-9edb-4ad4-b889-92fad42871b4_1687893383.jpg,6ed6de03-9edb-4ad4-b889-92fad42871b4_1687893395.jpg,150,121,70,530,15,7,NA,Healthy,Carapace,No,"Damaged first left marginal",Normal,,"Mature Forest",Road/Footpath,"Crossing road",NA,Walking,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
97426bd4-9c1b-4554-b4d2-a26442d895da,2023-06-27T19:08:40.626Z,2023-06-28T17:50:30.000Z,maxearle32@gmail.com,"Male 2020",SCBI,"Track only",2,06/27/2023,14:54,,MPE,5.5,Male,2020,Alive,Adult,"New/Initial Capture",38.903828,-78.161888,5,4309934,746110,17S,97426bd4-9c1b-4554-b4d2-a26442d895da_1687893092.jpg,97426bd4-9c1b-4554-b4d2-a26442d895da_1687893100.jpg,150,121,67,610,30,8,NA,Healthy,Carapace,No,"Damage to RM1 LM1 and N",Normal,,"Early successional forest","Leaf litter",,"1-5 m",Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",HUGE
f8f817b9-fecc-4e3d-b638-ebc7cea98a4e,2023-06-27T18:46:25.910Z,2023-06-28T17:50:28.000Z,maxearle32@gmail.com,"Male 2000",SCBI,"Track only",2,06/27/2023,14:44,,MPE,2,Male,2000,Alive,Sub-adult,Recapture,38.904955,-78.160972,5,4310061,746186,17S,f8f817b9-fecc-4e3d-b638-ebc7cea98a4e_1687891555.jpg,,,,,,,,,Healthy,,,,,,"Early successional forest","Downed tree/log",,,Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Radio telemetry"
234fe07e-0c88-4ed6-acb8-dbd9eeda37c6,2023-06-27T18:40:43.412Z,2023-06-28T17:50:26.000Z,maxearle32@gmail.com,"Female 2009",SCBI,"Track only",2,06/27/2023,14:39,,,,Female,2009,Unknown,Adult,,38.905567,-78.161102,5,4310129,746173,17S,,,,,,,,,,,,,,,,,,,,,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Radio telemetry: Outside of SCBI"
48f29054-8fe4-40fe-8f43-40d0560bdc0d,2023-06-16T19:09:57.033Z,2023-06-18T22:37:34.000Z,maxearle32@gmail.com,"Female 2016",SCBI,"Track only",2,06/16/2023,14:55,,MPE,3,Female,2016,Alive,Adult,Recapture,38.902072,-78.162623,5,4309737,746053,17S,48f29054-8fe4-40fe-8f43-40d0560bdc0d_1686942261.jpg,,,,,400,,,,,,,,,,"Early successional forest","Leaf litter",,,"In form",,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Given transmitter 165.322, first time found this morning"
1dfc0ac7-e3ef-4b7e-b671-83bfe84ae823,2023-06-16T18:54:41.285Z,2023-06-18T22:37:32.000Z,maxearle32@gmail.com,"Female 2014",SCBI,"Track only",2,06/16/2023,14:45,,MPE,0,Female,2014,Alive,Adult,Recapture,38.902069,-78.162571,5,4309737,746057,17S,1dfc0ac7-e3ef-4b7e-b671-83bfe84ae823_1686941633.jpg,,,,,343,,,,,,,,,,"Early successional forest",Grasses,,,"In form",,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Given transmitter 165.961, first captured this morning"
f1cdf17d-5a95-4088-b6cc-fa7a976273d2,2023-06-16T15:12:51.274Z,2023-06-18T22:37:30.000Z,maxearle32@gmail.com,"Female 2015",SCBI,"Track only",2,06/16/2023,11:05,,MPE,8,Female,2015,Alive,Adult,"New/Initial Capture",38.902341,-78.162545,5,4309767,746059,17S,f1cdf17d-5a95-4088-b6cc-fa7a976273d2_1686928120.jpg,f1cdf17d-5a95-4088-b6cc-fa7a976273d2_1686928130.jpg,132,107,66,490,10,16,No,Healthy,Carapace,No,"Frostbite or fungal infection on carapace",Normal,,"Early successional forest",Soil/Clay,,Unknown,"Walking, Active",,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
818ba40f-42c8-4ad5-950d-e5a9cb53bbf7,2023-06-16T15:11:51.703Z,2023-06-16T20:20:14.000Z,turtleconservationecology@gmail.com,"Female 2016",SCBI,"Track only",2,06/16/2023,11:05,,"Nate Weisenbeck",3,Female,2016,Alive,Adult,"New/Initial Capture",38.902343,-78.162525,5,4309767,746060,17S,818ba40f-42c8-4ad5-950d-e5a9cb53bbf7_1686928008.jpg,818ba40f-42c8-4ad5-950d-e5a9cb53bbf7_1686928023.jpg,118,95,62,400,100,0,Unknown,Healthy,None,No,,Normal,,"Early successional forest",Road/Footpath,,NA,Alert,"Walking towards fence","AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
54ab4c01-286e-40aa-a858-3e8735389913,2023-06-16T15:00:22.326Z,2023-06-16T20:20:16.000Z,turtleconservationecology@gmail.com,"Female 2014",SCBI,"Track only",2,06/16/2023,10:55,,"Jess Meck and Max Earle",5,Female,2014,Alive,Adult,,38.902134,-78.162614,5,4309744,746053,17S,54ab4c01-286e-40aa-a858-3e8735389913_1686927359.jpg,54ab4c01-286e-40aa-a858-3e8735389913_1686927373.jpg,117,89,58,345,100,0,Unknown,Healthy,None,No,,"Irregular (Specify)","6 plurals both","Early successional forest",Road/Footpath,Road,NA,Walking,"Possible nesting just prior","AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
a8360ca6-73a5-486f-925d-653fb3ad9465,2023-06-16T14:38:13.386Z,2023-06-18T22:37:28.000Z,maxearle32@gmail.com,"Female 2013",SCBI,"Track only",2,06/16/2023,10:33,,MPE,2,Female,2013,Alive,Adult,"New/Initial Capture",38.902855,-78.16188,5,4309826,746114,17S,a8360ca6-73a5-486f-925d-653fb3ad9465_1686926091.jpg,a8360ca6-73a5-486f-925d-653fb3ad9465_1686926109.jpg,121,104,62,440,10,10,Unknown,Healthy,Carapace,No,"Small chip on RM3",Normal,,"Early successional forest",Grasses,,Unknown,Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
e254a69d-c54e-4eb5-b118-6d231e39bf16,2023-06-16T14:06:52.242Z,2023-06-18T22:37:26.000Z,maxearle32@gmail.com,"Male 2012",SCBI,"Track only",2,06/16/2023,22:00,,JRM,,Male,2012,Alive,Adult,"New/Initial Capture",38.904328,-78.159889,5,4309995,746282,17S,e254a69d-c54e-4eb5-b118-6d231e39bf16_1686924206.jpg,e254a69d-c54e-4eb5-b118-6d231e39bf16_1686924216.jpg,138,107,69,495,10,13,NA,Healthy,Carapace,No,,Normal,,"Mature Forest","Leaf litter",,NA,Walking,,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
ff8cb2ac-790e-4683-b525-b332129293d4,2023-06-15T15:34:26.736Z,2023-06-18T22:37:24.000Z,maxearle32@gmail.com,"Male 720","Black Rock","Search-Encounter (SCR Method)",1,06/15/2023,11:25,3,NW,1,Male,720,Alive,Adult,"New/Initial Capture",38.775364,-78.079067,5,4295901,753750,17S,ff8cb2ac-790e-4683-b525-b332129293d4_1686843064.jpg,ff8cb2ac-790e-4683-b525-b332129293d4_1686843077.jpg,132,109,63,465,50,13,NA,Healthy,Carapace,No,"Missing Nucal and RM1","Irregular (Specify)","11M’s on both sides","Open Field/Meadow","Tall Grasses/Hay",,Unknown,"In form",,"SCITOOLS Digital Caliper: 200mm 8","Modified Cagle",
6180588e-d6ef-4c8f-9038-1c3631c9a792,2023-06-13T13:42:46.072Z,2023-06-13T17:42:43.000Z,maxearle32@gmail.com,"Female 15",Clifton,"Track only",1,06/13/2023,09:36,,JRM,2,Female,15,Alive,Adult,Recapture,38.785107,-77.801936,5,4296659,256622,18S,6180588e-d6ef-4c8f-9038-1c3631c9a792_1686663517.jpg,6180588e-d6ef-4c8f-9038-1c3631c9a792_1686663536.jpg,128,98,64,423,50,10,No,Healthy,None,No,,Normal,,"Early successional forest","Leaf litter",,"1-5 m",Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
2247b1dd-4e96-45f6-880f-ea105e4cf83a,2023-06-12T16:22:49.853Z,2023-08-02T15:34:00.000Z,turtleconservationecology@gmail.com,"Male 712","Black Rock","Search-Encounter (SCR Method)",3,06/12/2023,12:13,3,NW,2,Male,712,Alive,Adult,"New/Initial Capture",38.76913,-78.071989,5,4295229,754387,17S,2247b1dd-4e96-45f6-880f-ea105e4cf83a_1686586808.jpg,2247b1dd-4e96-45f6-880f-ea105e4cf83a_1686586821.jpg,123,97,63,380,2,10,No,Healthy,None,No,,Normal,,"Open Field/Meadow",Grasses,,"20+ m",Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
ffa1ca0d-5d06-4389-8592-0c3a27bdc4ee,2023-06-12T14:59:57.295Z,2023-06-12T17:50:45.000Z,emmakendrick136@gmail.com,"Female 711","Black Rock","Search-Encounter (SCR Method)",2,06/12/2023,10:53,3,MPE,2,Female,711,Alive,Adult,"New/Initial Capture",38.778584,-78.068439,5,4296288,754662,17S,ffa1ca0d-5d06-4389-8592-0c3a27bdc4ee_1686581850.jpg,ffa1ca0d-5d06-4389-8592-0c3a27bdc4ee_1686581860.jpg,132,104,64,480,20,11,Unknown,Healthy,Plastron,No,"L abdominal chip",Normal,,"Early successional forest",Grasses,,"20+ m",Feeding/Foraging,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
631e41a2-51a7-4258-9f49-f101391cdd61,2023-06-12T14:27:48.784Z,2023-06-12T17:50:43.000Z,emmakendrick136@gmail.com,"Male 709","Black Rock","Search-Encounter (SCR Method)",2,06/12/2023,10:12,3,NW,1,Male,709,Alive,Adult,"New/Initial Capture",38.776813,-78.068914,5,4296090,754627,17S,631e41a2-51a7-4258-9f49-f101391cdd61_1686579795.jpg,631e41a2-51a7-4258-9f49-f101391cdd61_1686579817.jpg,137,109,62,430,20,8,NA,Healthy,None,No,,Normal,,Floodplain/Seep,"Seep/Wet area",,"20+ m",Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Right next to M708"
0abd3bcc-f712-4a8d-a7b2-9cfa237ebcfb,2023-06-12T14:24:33.966Z,2023-08-02T15:33:57.000Z,turtleconservationecology@gmail.com,"Male 708","Black Rock","Search-Encounter (SCR Method)",2,06/12/2023,10:11,3,NW,1,Male,708,Alive,Adult,"New/Initial Capture",38.77686,-78.068917,5,4296095,754627,17S,0abd3bcc-f712-4a8d-a7b2-9cfa237ebcfb_1686579612.jpg,0abd3bcc-f712-4a8d-a7b2-9cfa237ebcfb_1686579631.jpg,135,104,65,400,10,10,No,Healthy,Carapace,No,"Large injury to right marginals",Normal,,"Open Field/Meadow","Seep/Wet area",,"20+ m",Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle",
7871fa9d-bd75-4f32-b1be-280438baa049,2023-06-12T14:12:26.409Z,2023-06-12T19:30:58.000Z,maxearle32@gmail.com,"Female 710","Black Rock","Search-Encounter (SCR Method)",2,06/12/2023,10:12,3,MPE,2,Female,710,Alive,Adult,"New/Initial Capture",38.776882,-78.06894,5,4296098,754624,17S,7871fa9d-bd75-4f32-b1be-280438baa049_1686579448.jpg,7871fa9d-bd75-4f32-b1be-280438baa049_1686579489.jpg,129,108,63,430,5,15,Unknown,Healthy,Plastron,No,"Right bridge/hinge damage",Normal,,Floodplain/Seep,Grasses,,"20+ m",Active,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Given transmitter 150.570, new weight 440"
777c0e19-dcf8-4b2c-84df-63d02144e12d,2023-06-12T14:07:38.544Z,2023-08-02T15:33:55.000Z,turtleconservationecology@gmail.com,"Unknown 707","Black Rock","Search-Encounter (SCR Method)",2,06/12/2023,10:02,3,"Max Earle",1,Unknown,707,Alive,Juvenile,"New/Initial Capture",38.77672,-78.068622,5,4296081,754653,17S,777c0e19-dcf8-4b2c-84df-63d02144e12d_1686578708.jpg,777c0e19-dcf8-4b2c-84df-63d02144e12d_1686578720.jpg,95,76,46,150,0,4,No,Healthy,None,No,,Normal,,"Open Field/Meadow","Seep/Wet area",,"20+ m",Walking,,"AnthroFlex: Long Jaw Digital Vernier Caliper 300mm 12","Modified Cagle","Starting to show male characteristics"
